Symbol,Name,Open,Last,Prev_Open,Prev_Last,Open_2D_Ago,Last_2D_Ago,20D_MA,Volume,Industry,Sector
FARM.VN,Deveron Corp,0.5,0.49,0.48,0.48,0.5,0.5,0.438,14000,N/L,Computers and Technology
DXT.TO,Dexterra Group Inc,6,6,5.99,5.8,5.79,5.9,6.22,27628,N/L,Industrial Products
DGTL.VN,Dgtl Holdings Inc,0.1,0.12,0.1,0.1,0.105,0.1,0.118,77501,N/L,Computers and Technology
ADK.VN,Diagnos Inc,0.175,0.19,0.175,0.175,0.165,0.17,0.192,93350,N/L,Medical
CARE.TO,Dialogue Health Technologies Inc,4.16,4.48,4.24,4.15,4.05,4.1,4.37,67230,N/L,Medical
DMI.VN,Diamcor Mining Inc,0.24,0.23,0.24,0.24,0.245,0.245,0.234,29500,N/L,N/A
DRT-DB.TO,Dirtt Environmental Solns Ltd 6 Pct Debs,69.01,69.01,70.01,69,69.01,69.01,79.58,19000,N/L,N/A
DRT.TO,Dirtt Environmental Solutions Ltd,1.47,1.47,1.35,1.36,1.42,1.28,1.24,15323,N/L,Industrial Products
RV.VN,Discovery One Investment Corp,0.105,0.105,0.1,0.1,0.1,0.095,0.098,10000,N/L,Consumer Discretionary
DSV.VN,Discovery Silver Corp,1.41,1.4,1.41,1.38,1.37,1.39,1.353,39044,N/L,Basic Materials
DCOP.VN,District Copper Corp,0.145,0.13,0.155,0.155,0.17,0.165,0.207,54600,N/L,Basic Materials
DMX.VN,District Metals Corp,0.15,0.145,0.16,0.15,0.16,0.145,0.158,19500,N/L,Basic Materials
DVG.VN,Divergent Energy Services Corp,0.11,0.085,0.115,0.12,0.12,0.12,0.113,67954,N/L,Oils-Energy
DIV.TO,Diversified Royalty Corp,2.84,2.86,2.8,2.83,2.77,2.78,2.8,214888,N/L,Conglomerates
DIV-DB.TO,Diversified Royalty Corp 5.25 Pct Debs,100.25,100,100.25,100.25,100.25,100.25,100.1,18000,N/L,N/A
DIV-DB-A.TO,Diversified Royalty Corp 6.00 Pct Debs,95,95,95.65,95.2,96,95.65,96.31,6000,N/L,N/A
DFN-PR-A.TO,Dividend 15 Split Corp,9.83,9.86,9.8,9.87,9.63,9.79,9.72,22798,N/L,N/A
DFN.TO,Dividend 15 Split Corp,8.53,8.54,8.55,8.61,8.48,8.55,8.25,110149,N/L,Finance
DF.TO,Dividend 15 Split Corp II,6.38,6.35,6.49,6.48,6.42,6.49,6.18,108608,N/L,Finance
DGS.TO,Dividend Growth Split Corp Class A,7.15,7.21,7.2,7.24,7.12,7.18,6.93,85077,N/L,Finance
DGS-PR-A.TO,Dividend Growth Split Corp Pref,9.53,9.78,9.83,9.91,9.73,9.84,9.77,12626,N/L,N/A
DS.TO,Dividend Select 15 Corp,8.41,8.6,8.43,8.7,8.37,8.45,8.22,21986,N/L,Finance
DLP.VN,Dlp Resources Inc,0.2,0.2,0.195,0.195,0.18,0.18,0.216,14500,N/L,Basic Materials
DMGI.VN,Dmg Blockchain Solutions Inc,0.415,0.415,0.415,0.39,0.345,0.4,0.399,113644,N/L,Computers and Technology
DCBO.TO,Docebo Inc,44.17,45.01,43.86,44.17,42.67,43.42,46.57,12978,N/L,Computers and Technology
DOL.TO,Dollarama Inc,71.94,72.88,70.43,71.41,69.68,70.12,70.06,162115,N/L,Consumer Staples
DV.VN,Dolly Varden Silver Corp,0.74,0.75,0.7,0.71,0.67,0.68,0.605,278567,N/L,Basic Materials
