Symbol,Name,Open,Last,Prev_Open,Prev_Last,Open_2D_Ago,Last_2D_Ago,20D_MA,Volume,Industry,Sector
FNI.CN,Fathom Nickel Inc,0.225,0.22,0.25,0.22,0.24,0.25,0.235,25100,N/L,N/A
FXC.TO,Fax Capital Corp,5.1,5.11,5.05,5.12,5.06,5.07,5.04,76130,N/L,Finance
FENX.CN,Fenixoro Gold Corp,0.18,0.17,0.19,0.19,0.185,0.2,0.194,38145,N/L,N/A
FMN.VN,Fidelity Minerals Corp,0.105,0.105,0.105,0.105,0.1,0.1,0.101,46500,N/L,Basic Materials
FTRP.TO,Field Trip Health Ltd,1.07,1.13,1.09,1.08,1.05,1.06,1.14,5014,N/L,Medical
FSZ.TO,Fiera Capital Corp,9.8,9.84,9.72,9.71,9.69,9.66,9.43,127760,N/L,Finance
FSZ-DB.TO,Fiera Capital Corp 5.0 Pct Debs,99.98,99.9,99.99,99.99,99.85,99.85,100.26,32000,N/L,N/A
FH.NE,Filament Health Corp,0.125,0.125,0.125,0.125,0.125,0.125,0.143,6200,N/L,N/A
FIL.TO,Filo Mining Corp,24.81,25.82,25.5,25.06,26.26,25.49,21.35,125437,N/L,Basic Materials
FTN-PR-A.TO,Financial 15 Split Corp,10.2,10.19,10.19,10.22,10.15,10.18,10.13,7823,N/L,N/A
FTN.TO,Financial 15 Split Corp,11.08,11.14,10.99,11.13,10.78,10.96,10.16,78641,N/L,Finance
CALI.CN,Fincanna Capital Corp,0.12,0.12,0.1,0.1,0.1,0.1,0.114,20000,N/L,N/A
FYL.VN,Finlay Minerals Ltd,0.09,0.085,0.095,0.095,0.095,0.1,0.107,56500,N/L,N/A
FTT.TO,Finning Intl,34,34.25,33.06,33.78,32.8,32.92,34.12,72361,N/L,Industrial Products
FTG.TO,Firan Technology Group Corp,2.52,2.49,2.4,2.48,2.48,2.45,2.41,10200,N/L,Aerospace
FAF.TO,Fire & Flower Holdings Corp,3.24,3.31,3.27,3.31,3.08,3.35,3.08,7531,N/L,Medical
FFOX.VN,Firefox Gold Corp,0.18,0.18,0.14,0.185,0.175,0.185,0.161,59180,N/L,Basic Materials
FWZ.VN,Fireweed Zinc Ltd,0.58,0.56,0.55,0.58,0.58,0.56,0.571,18000,N/L,Basic Materials
FC-DB-H.TO,Firm Capital Mortgage 5.30 Pct Debs,98.93,98.93,98.93,98.5,99,99,99.6,12000,N/L,N/A
FC-DB-G.TO,Firm Capital Mortgage Inv 5.20 Pct Debs,99,99,99,100,100,100,100.67,11000,N/L,N/A
FC.TO,Firm Capital Mortgage Inv. Corp,12.67,12.77,12.98,12.61,13.14,12.9,13.08,29345,N/L,N/A
FC-DB-K.TO,Firm Capital Mrtg Invest Corp 5 Pct Debs,96.95,96.95,94,94,94.9,94.9,97.39,10000,N/L,N/A
FC-DB-I.TO,Firm Capital Mtg Inv Corp 5.40 Pct Debs,99.5,98.11,99.25,99.25,99.75,99.75,99.58,25000,N/L,N/A
FC-DB-J.TO,Firm Capital Mtg Inv Corp 5.5 Pct Debs,98.75,98.5,99,99,99,99,100.02,15000,N/L,N/A
FCD-UN.TO,Firm Capital Property Trust,7.04,7.04,7,7,6.93,6.9,7.16,42212,N/L,Finance
FCR-UN.TO,First Capital REIT Units,15.57,15.66,15.38,15.6,15.5,15.35,15.41,56899,N/L,Finance
HELI.VN,First Helium Inc,0.63,0.65,0.58,0.63,0.54,0.58,0.569,305811,N/L,Basic Materials
FHYD.VN,First Hydrogen Corp,2.72,2.7,2.77,2.7,2.72,2.7,2.78,23038,N/L,Auto-Tires-Trucks
FR.TO,First Majestic Silver Corp Common,10.74,10.54,10.8,10.68,10.37,10.62,11.15,54440,N/L,Basic Materials
FF.TO,First Mining Gold Corp,0.24,0.243,0.24,0.235,0.24,0.2375,0.233,131627,N/L,N/A
FN.TO,First National Financial Corp,36.54,36.77,36.51,36.43,35.45,35.95,35.49,16136,N/L,N/A
FM.TO,First Quantum Minerals Ltd,36.5,36.7,35.5,36.34,34.57,34.9,34.66,254987,N/L,Basic Materials
URNM.CN,First Uranium Resources Ltd,0.295,0.295,0.3,0.295,0.285,0.285,0.314,125745,N/L,N/A
FUU.VN,Fission 3.0 Corp,0.11,0.115,0.11,0.11,0.11,0.11,0.111,92500,N/L,N/A
FCU.TO,Fission Uranium Corp,0.8,0.82,0.81,0.8,0.7,0.81,0.77,309055,N/L,N/A
FW.VN,Flow Capital Corp,0.47,0.47,0.49,0.49,0.49,0.49,0.479,17500,N/L,Finance
FLY.VN,Flyht Aerospace Solutions Ltd,0.7,0.72,0.71,0.72,0.71,0.73,0.726,6300,N/L,Aerospace
FLYN.VN,Flying Nickel Mining Corp,0.39,0.335,0.39,0.375,0.395,0.38,0.364,35045,N/L,N/A
FOBI.VN,Fobi Ai Inc,0.58,0.59,0.57,0.57,0.57,0.56,0.588,36783,N/L,Computers and Technology
FOM.VN,Foran Mining Corp,2.28,2.42,2.3,2.27,2.19,2.22,2.164,236391,N/L,Basic Materials
FSY.TO,Forsys Metals Corp,0.62,0.63,0.55,0.59,0.49,0.55,0.53,78151,N/L,Basic Materials
FTS.TO,Fortis Inc,63.8,63.54,64.29,63.79,64.72,64.3,63.23,198527,N/L,Utilities
FTS-PR-I.TO,Fortis Inc Pref Ser I,15.88,15.68,15.67,15.5,15.7,15.69,15.63,30764,N/L,N/A
FTS-PR-M.TO,Fortis Inc Pref Ser M,20,20,19.9,20.09,19.69,19.9,19.86,400,N/L,N/A
FVI.TO,Fortuna Silver Mines Inc,4.43,4.38,4.46,4.42,4.36,4.38,4.18,38353,N/L,Basic Materials
FOR.VN,Fortune Bay Corp,0.55,0.55,0.5,0.5,0.48,0.49,0.541,9000,N/L,Basic Materials
FT.TO,Fortune Mnrl J,0.085,0.09,0.09,0.095,0.1,0.095,0.1077,107631,N/L,N/A
PLLR.CN,Forty Pillar Mining Corp,0.07,0.075,0.075,0.07,0.095,0.095,0.113,30000,N/L,N/A
FMC.VN,Forum Energy Metals Corp,0.135,0.145,0.14,0.135,0.13,0.135,0.145,237892,N/L,Basic Materials
FWTC.VN,Forward Water Technologies Corp,0.095,0.095,0.095,0.085,0.085,0.1,0.11,27000,N/L,N/A
FORZ.TO,Forza Petroleum Ltd,0.2,0.2,0.195,0.2,0.195,0.2,0.2055,37000,N/L,N/A
FSX.VN,Fosterville South Exploration Ltd,0.42,0.4,0.41,0.39,0.4,0.43,0.443,94800,N/L,Basic Materials
FOX.CN,Fox River Resources Corp,0.46,0.46,0.44,0.44,0.46,0.42,0.491,7500,N/L,N/A
FPX.VN,Fpx Nickel Corp,0.6,0.6,0.62,0.6,0.59,0.59,0.549,10030,N/L,Basic Materials
FVL.TO,Freegold Ventures Ltd,0.365,0.34,0.355,0.35,0.355,0.36,0.372,147203,N/L,Basic Materials
FRU.TO,Freehold Royalties Ltd,15.55,15.6,15.33,15.53,15.4,15.4,14.92,332731,N/L,Oils-Energy
FRE.VN,Fremont Gold Ltd,0.15,0.15,0.145,0.15,0.135,0.135,0.173,12500,N/L,Basic Materials
FRDY.VN,Fridays Dog Holdings Inc,0.14,0.14,0.155,0.145,0.225,0.155,0.24,46000,N/L,N/A
FRNT.VN,Frnt Financial Inc,1.21,1.11,1.35,1.15,1.42,1.42,1.433,15400,N/L,N/A
FEC.TO,Frontera Energy Corp,13.71,14.64,13.76,13.75,13.87,13.83,13.75,84932,N/L,Oils-Energy
FL.VN,Frontier Lithium Inc,3.25,3.32,3.31,3.33,3.34,3.33,3.451,105510,N/L,Basic Materials
FRXI.VN,Frx Innovations Inc,0.65,0.62,0.65,0.66,0.74,0.61,0,35500,N/L,N/A
HUGE.CN,Fsd Pharma Inc Subordinate Voting Share,1.28,1.28,1.3,1.29,1.15,1.26,1.199,14604,N/L,N/A
NHHH.VN,Fuelpositive Corp,0.16,0.16,0.17,0.16,0.16,0.165,0.17,120150,N/L,N/A
FMM.VN,Full Metal Minerals Ltd,0.105,0.1,0.1,0.105,0.09,0.105,0.102,57000,N/L,Basic Materials
FURY.TO,Fury Gold Mines Ltd,0.77,0.74,0.76,0.76,0.75,0.75,0.78,15683,N/L,Basic Materials
GMIN.VN,G Mining Ventures Corp,0.7,0.69,0.69,0.71,0.69,0.68,0.743,20210,N/L,N/A
GTWO.VN,G2 Goldfields Inc,0.65,0.62,0.64,0.65,0.62,0.63,0.667,92500,N/L,Basic Materials
GBU.VN,Gabriel Res J,0.23,0.23,0.205,0.205,0.195,0.205,0.203,200000,N/L,N/A
GG.VN,Galane Gold Ltd,0.14,0.135,0.14,0.13,0.14,0.14,0.138,76153,N/L,Basic Materials
GLXY.TO,Galaxy Digital Holdings Ltd,7.38,8.64,7.96,6.9,8.1,7.81,9.85,888118,N/L,Finance
GAU.TO,Galiano Gold Inc,0.52,0.5,0.52,0.52,0.49,0.51,0.53,7877,N/L,Basic Materials
GGO.VN,Galleon Gold Corp,0.4,0.4,0.37,0.4,0.37,0.38,0.419,22020,N/L,Basic Materials
GWM.VN,Galway Metals Inc,0.395,0.395,0.385,0.375,0.39,0.38,0.414,167360,N/L,Basic Materials
GMNG.CN,Gamelancer Gaming Corp,0.085,0.09,0.095,0.095,0.09,0.09,0.106,11072,N/L,N/A
GSQ.CN,Gamesquare Esports Inc,0.1,0.105,0.11,0.11,0.11,0.11,0.118,161025,N/L,N/A
GAND.CN,Gander Gold Corporation,0.185,0.185,0.185,0.195,0.235,0.21,0.222,17361,N/L,N/A
GGI.VN,Garibaldi Resources Corp,0.42,0.42,0.43,0.41,0.43,0.43,0.442,15794,N/L,Basic Materials
GSI.VN,Gatekeeper Systems Inc,0.355,0.37,0.36,0.355,0.345,0.355,0.363,21436,N/L,Industrial Products
GTR.VN,Gatling Exploration Inc,0.315,0.325,0.31,0.31,0.305,0.315,0.31,201000,N/L,Basic Materials
GXE.TO,Gear Energy Ltd,1.62,1.68,1.57,1.62,1.57,1.57,1.52,1933849,N/L,Oils-Energy
GA.VN,General Assembly Holdings Ltd,0.35,0.35,0.35,0.35,0.35,0.35,0.489,12015,N/L,Consumer Discretionary
GGLD.CN,General Copper Gold Corp,0.21,0.22,0.2,0.2,0.2,0.2,0.229,100000,N/L,N/A
GENM.TO,Generation Mining Ltd,0.76,0.78,0.74,0.75,0.75,0.75,0.79,85865,N/L,Basic Materials
GIS.VN,Genesis Metals Corp,0.145,0.145,0.145,0.14,0.145,0.14,0.133,7000,N/L,Basic Materials
GSP.VN,Gensource Potash Corp,0.28,0.29,0.305,0.275,0.285,0.29,0.303,157856,N/L,Basic Materials
GTCH.CN,Getchell Gold Corp,0.4,0.39,0.39,0.39,0.395,0.39,0.398,11000,N/L,N/A
GTC.VN,Getty Copper Inc,0.05,0.055,0.045,0.05,0.055,0.045,0.042,31000,N/L,N/A
GFG.VN,Gfg Resources Inc,0.14,0.145,0.135,0.145,0.135,0.135,0.153,702500,N/L,Basic Materials
GFL.TO,Gfl Environmental Inc,39.45,39.95,38.21,39.06,37.62,38,37.25,83010,N/L,N/A
GGL.VN,Ggl Resources Corp,0.11,0.11,0.13,0.13,0.11,0.11,0.123,5500,N/L,N/A
GEI.TO,Gibson Energy Inc,26.52,26.48,26.34,26.5,25.95,26.37,25.6,74533,N/L,Oils-Energy
GIGA.VN,Giga Metals Corp,0.345,0.335,0.31,0.335,0.32,0.32,0.326,19713,N/L,Basic Materials
GIL.TO,Gildan Activewear Inc,39.66,39.92,38.91,39.3,38.23,38.7,40.05,82203,N/L,Consumer Discretionary
GIVX.TO,Givex Information Technology Group Ltd,0.67,0.63,0.66,0.67,0.69,0.65,0.68,108800,N/L,N/A
GVC.TO,Glacier Media Inc,0.435,0.435,0.43,0.405,0.43,0.425,0.4013,5600,N/L,Utilities
GLAS-A-U.NE,Glass House Brands Inc Subordinate Shares,3.5,3.56,3.64,3.6,3.79,3.64,3.705,14529,N/L,N/A
GLAS-WT-U.NE,Glass House Brands Inc WT,0.87,0.86,0.8,0.8,0.94,0.8,0.841,6000,N/L,N/A
GLO.TO,Global Atomic Corp,3.15,3.22,3.06,3.1,2.89,3.04,3.15,73363,N/L,Basic Materials
JET-B.NE,Global Crossing Airlines Group Inc,1.08,1.07,1.03,1.08,0.96,1.03,1.019,13147,N/L,N/A
JET.NE,Global Crossing Airlines Group Inc,1.09,1.09,1.08,1.1,1,1.08,1.016,39900,N/L,N/A
GDV.TO,Global Dividend Growth Split Corp,11.21,11.24,11.17,11.13,10.94,11.15,10.72,18408,N/L,Finance
GDV-PR-A.TO,Global Dividend Growth Split Corp Pref A,9.88,9.88,9.82,9.89,9.79,9.82,9.78,315,N/L,N/A
HECO.CN,Global Helium Corp,0.45,0.51,0.455,0.455,0.46,0.445,0.465,46553,N/L,N/A
GWS.CN,Global Wellness Strategies Inc,0.245,0.245,0.24,0.24,0.23,0.24,0.251,26500,N/L,N/A
BLOK.VN,Globalblock Digital Asset Trading Ltd,0.195,0.195,0.185,0.195,0.195,0.22,0.315,13500,N/L,Computers and Technology
GMV.VN,Gmv Minerals Inc,0.1,0.095,0.11,0.11,0.1,0.11,0.132,13000,N/L,Basic Materials
GOCO.CN,Go Metals Corp,0.16,0.13,0.13,0.125,0.145,0.14,0.167,35720,N/L,N/A
GGD.TO,Gogold Resources Inc,2.33,2.3,2.37,2.32,2.23,2.35,2.31,62805,N/L,N/A
GXX.VN,Gold Basin Resources Corp,0.23,0.24,0.21,0.21,0.21,0.21,0.214,488500,N/L,Basic Materials
GBRC.VN,Gold Bull Resources Corp,0.1,0.1,0.11,0.105,0.1,0.105,0.114,15100,N/L,Basic Materials
GLDL.VN,Gold Line Resources Ltd,0.07,0.07,0.06,0.065,0.06,0.06,0.068,71000,N/L,Basic Materials
GMTN.TO,Gold Mountain Mining Corp,0.76,0.76,0.76,0.76,0.75,0.76,0.82,24494,N/L,Basic Materials
GRC.TO,Gold Springs Resource Corp,0.185,0.18,0.185,0.185,0.175,0.18,0.1908,41000,N/L,N/A
YGT.VN,Gold Terra Resource Corp,0.195,0.19,0.195,0.195,0.2,0.195,0.216,68000,N/L,Basic Materials
GCN.VN,Goldcliff Resource Corp,0.155,0.155,0.155,0.155,0.15,0.15,0.141,10000,N/L,Basic Materials
GRG.VN,Golden Arrow Res Corp,0.16,0.16,0.16,0.155,0.17,0.16,0.159,10000,N/L,Basic Materials
GOM.VN,Golden Dawn Minerals Inc,0.095,0.095,0.09,0.09,0.09,0.095,0.108,6000,N/L,Basic Materials
GLM.CN,Golden Lake Explorationinc,0.115,0.11,0.11,0.11,0.11,0.105,0.116,76140,N/L,N/A
GDP.VN,Golden Pursuit Resources Ltd,0.1,0.1,0.105,0.1,0.095,0.09,0.119,25000,N/L,N/A
GLDN.VN,Golden Ridge Resources Ltd,0.115,0.12,0.125,0.115,0.125,0.125,0.134,95000,N/L,N/A
GSRI.CN,Golden Shield Resources Inc.,0.53,0.58,0.51,0.53,0.53,0.51,0.6,17500,N/L,N/A
AUEN.VN,Golden Sky Minerals Corp,0.21,0.21,0.175,0.18,0.21,0.2,0.237,15300,N/L,Basic Materials
GOG.VN,Golden Tag Resources Ltd,0.225,0.22,0.22,0.215,0.215,0.22,0.232,40426,N/L,Basic Materials
GDX.VN,Goldex Resources Corp,0.075,0.06,0.075,0.075,0.075,0.075,0.062,20999,N/L,Basic Materials
GOH.CN,Goldhaven Resources Corp,0.12,0.115,0.12,0.13,0.1,0.115,0.109,11000,N/L,N/A
GOLD.TO,Goldmining Inc,1.55,1.49,1.58,1.52,1.56,1.54,1.47,135218,N/L,Basic Materials
XAU.TO,Goldmoney Inc,1.57,1.61,1.56,1.55,1.54,1.55,1.63,28172,N/L,Finance
AUC.VN,Goldplay Mining Inc,0.075,0.075,0.075,0.075,0.075,0.075,0.094,21000,N/L,N/A
GQC.VN,Goldquest Mining Corp,0.165,0.16,0.175,0.165,0.18,0.165,0.17,59000,N/L,Basic Materials
GOT.VN,Goliath Resources Ltd,1.11,1.11,1.12,1.12,1.09,1.12,1.209,24500,N/L,N/A
GDNP.VN,Good Natured Products Inc,0.42,0.43,0.395,0.415,0.365,0.39,0.412,101856,N/L,Basic Materials
GDNP-DB.VN,Good Natured Products Inc 7 Pct Debs,95,90,95.99,95.99,96,96,97.187,7000,N/L,N/A
FOOD.TO,Goodfood Market Corp,1.76,1.82,1.76,1.75,1.65,1.71,1.82,33902,N/L,Consumer Discretionary
FOOD-DB-A.TO,Goodfood Market Corp. 5.75%,40,40,40,40,40,40,52.45,7000,N/L,N/A
GXU.VN,Goviex Uranium Inc,0.31,0.325,0.31,0.315,0.295,0.315,0.313,281966,N/L,N/A
GRSL.VN,Gr Silver Mining Ltd,0.2,0.205,0.2,0.2,0.2,0.19,0.199,35209,N/L,Basic Materials
GCM.TO,Gran Colombia Gold Corp,4.5,4.4,4.6,4.51,4.62,4.57,4.67,99541,N/L,N/A
GTE.TO,Gran Tierra Energy Inc,2.18,2.33,2.18,2.16,2.15,2.18,2.03,1280970,N/L,Oils-Energy
GRT-UN.TO,Granite Real Estate Investment Trust,90.32,90.96,89.39,90.1,88.48,89.04,88.08,11493,N/L,Finance
GEL.VN,Graphano Energy Ltd,0.3,0.3,0.33,0.315,0.32,0.335,0.367,2000,N/L,Basic Materials
GMG.VN,Graphene Manufacturing Group Ltd,3.47,3.37,3.5,3.33,3.65,3.58,3.478,12119,N/L,Basic Materials
GRAT.VN,Gratomic Inc,0.485,0.47,0.495,0.485,0.47,0.47,0.475,269541,N/L,Basic Materials
GRAY.CN,Graycliff Exploration Ltd,0.2,0.2,0.21,0.2,0.2,0.21,0.236,29650,N/L,N/A
GR.VN,Great Atlantic Resources Corp,0.12,0.115,0.125,0.115,0.135,0.13,0.173,129905,N/L,Basic Materials
GPR.TO,Great Panther Silver Ltd,0.24,0.235,0.24,0.235,0.24,0.245,0.2437,17684,N/L,Basic Materials
GWO-PR-S.TO,Great West Lifeco Pref Ser S,23.15,23.45,22.95,23.35,22.8,22.85,22.76,5531,N/L,N/A
GWO.TO,Great-West Lifeco Inc,34.6,34.74,34.37,34.47,34.16,34.28,33.81,287558,N/L,Finance
GWO-PR-G.TO,Great-West Lifeco Inc Pr. G,23.38,23.06,22.72,23.21,22.4,22.67,22.45,2800,N/L,N/A
GWO-PR-I.TO,Great-West Lifeco Inc Prf Series I,20.29,20.46,20.16,20.34,20.15,20.25,19.82,6900,N/L,N/A
GWO-PR-Y.TO,Great-West Lifeco Inc.,20.69,20.69,20.4,20.44,20.25,20.5,19.9,300,N/L,N/A
GEM.VN,Green Battery Minerals Inc,0.09,0.09,0.095,0.095,0.1,0.1,0.101,7580,N/L,Basic Materials
GBMC.CN,Green Block Mining Corp.,0.065,0.065,0.075,0.07,0.08,0.08,0.076,20500,N/L,N/A
GRF.VN,Green Rise Foods Inc,1.73,1.73,1.58,1.73,1.5,1.5,1.362,15002,N/L,Industrial Products
CCR.CN,Green River Gold Corp,0.065,0.065,0.075,0.065,0.07,0.07,0.076,9400,N/L,N/A
GRB.VN,Greenbriar Capital Corp,1.07,1.07,1.12,1.08,1.13,1.11,1.102,5040,N/L,N/A
GTMS.TO,Greenbrook Tms Inc,3,2.97,3.05,3.05,3.13,3.1,2.92,6800,N/L,Medical
MOLY.NE,Greenland Resources Inc.,0.7,0.7,0.7,0.69,0.7,0.69,0.734,12216,N/L,N/A
GRN.TO,Greenlane Renewables Inc,0.8,0.89,0.78,0.78,0.76,0.77,0.8,583441,N/L,Industrial Products
GWAY.CN,Greenway Greenhouse Cannabis Corporation,0.91,0.83,0.91,0.91,0.91,0.91,1.036,22624,N/L,N/A
GRDM.VN,Grid Metals Corp,0.175,0.175,0.175,0.17,0.18,0.175,0.186,38000,N/L,Basic Materials
GRVA-P.VN,Grosvenor Cpc I Inc,0.1,0.1,0.125,0.125,0.1,0.1,0,10000,N/L,N/A
ZNG.VN,Group Eleven Resources Corp,0.09,0.09,0.1,0.09,0.095,0.095,0.106,70550,N/L,Basic Materials
GRIN.CN,Grown Rogue International Inc,0.085,0.085,0.085,0.08,0.085,0.085,0.073,16500,N/L,N/A
GSPR.VN,Gsp Resource Corp,0.09,0.09,0.1,0.09,0.115,0.105,0.131,25500,N/L,N/A
GSVR.VN,Guanajuato Silver CO Ltd,0.4,0.38,0.405,0.38,0.385,0.38,0.398,78280,N/L,Basic Materials
GX.VN,Guardian Exploration Inc,0.095,0.095,0.11,0.115,0.065,0.08,0.079,56000,N/L,N/A
GUG.VN,Gungnir Resources Inc,0.1,0.1,0.1,0.1,0.105,0.11,0.112,166001,N/L,Basic Materials
HR-UN.TO,H&R Real Estate Inv Trust,13.74,13.76,13.61,13.7,13.45,13.45,12.84,151059,N/L,Finance
HEO.TO,H2O Innovation Inc,2.11,2.14,2.08,2.11,2.03,2.08,2.11,9661,N/L,Utilities
HAI.TO,Haivision Systems Inc,5.26,5.25,5.15,5.25,4.96,5.1,5.36,11435,N/L,Computers and Technology
HALO.NE,Halo Collective Inc,0.065,0.065,0.07,0.07,0.085,0.075,0.13,1095811,N/L,N/A
HTL.VN,Hamilton Thorne Ltd,1.43,1.5,1.44,1.46,1.46,1.43,1.559,15525,N/L,Medical
HPY.VN,Happy Creek Minerals Ltd,0.05,0.05,0.055,0.05,0.055,0.055,0.058,26900,N/L,Basic Materials
HDI.TO,Hardwoods Distribution Inc,32.51,32.96,32.07,32.41,30.81,32,32.23,24434,N/L,Industrial Products
HAR.VN,Harfang Exploration Inc,0.27,0.27,0.29,0.27,0.28,0.3,0.307,7500,N/L,Basic Materials
HARY.CN,Harrys Manufacturing Inc,0.085,0.09,0.085,0.085,0.075,0.08,0.077,118700,N/L,N/A
HVG.VN,Harvest Gold Corp,0.075,0.08,0.075,0.075,0.075,0.075,0.089,79125,N/L,Basic Materials
HAVN.CN,Havn Life Sciences Inc,0.06,0.06,0.06,0.06,0.055,0.055,0.065,103292,N/L,N/A
HWX.TO,Headwater Exploration Inc,7.2,7.4,7.05,7.15,7.13,7.08,6.88,794058,N/L,Oils-Energy
HWG.CN,Headwater Gold Inc,0.14,0.14,0.14,0.145,0.145,0.13,0.163,125500,N/L,N/A
HSTR.VN,Heliostar Metals Ltd,0.24,0.24,0.22,0.23,0.23,0.22,0.269,6000,N/L,Basic Materials
HEVI.VN,Helium Evolution Incorporated,0.345,0.375,0.385,0.35,0.395,0.34,0.344,26000,N/L,N/A
HBP.TO,Helix Biopharm,0.185,0.185,0.19,0.185,0.2,0.19,0.1962,13158,N/L,Medical
HP.CN,Hello Pal International Inc,0.195,0.195,0.21,0.19,0.21,0.21,0.232,14000,N/L,N/A
HME.VN,Hemisphere Energy Corp,1.66,1.66,1.66,1.64,1.68,1.65,1.484,65720,N/L,Oils-Energy
HEM.VN,Hemostemix Inc,0.335,0.32,0.35,0.33,0.33,0.33,0.339,115300,N/L,Medical
CBD-U.TO,Hempfusion Wellness Inc,0.065,0.06,0.07,0.07,0.08,0.065,0.0723,413291,N/L,N/A
HRX.TO,Heroux-Devtek,15.95,16.4,15.82,15.65,15.66,15.52,14.83,37156,N/L,Aerospace
HEXO.TO,Hexo Corp,0.32,0.325,0.325,0.31,0.33,0.325,0.3867,624929,N/L,Medical
HWO.TO,High Arctic Energy Services Inc,1.61,1.69,1.63,1.64,1.57,1.61,1.64,17669,N/L,Oils-Energy
HITI.VN,High Tide Inc,3.4,3.45,3.43,3.42,3.04,3.43,3.378,7529,N/L,Medical
HITI-WR.VN,High Tide Inc Wr,0.065,0.065,0.065,0.065,0.065,0.065,0.077,37000,N/L,N/A
HIGH.VN,Highgold Mining Inc,0.82,0.82,0.86,0.86,0.9,0.88,0.809,26021,N/L,Basic Materials
HI.VN,Highland Copper Company Inc,0.125,0.12,0.115,0.12,0.12,0.11,0.128,47850,N/L,Basic Materials
HEAT.CN,Hillcrest Energy Technologies Ltd,0.12,0.12,0.115,0.12,0.115,0.115,0.117,62000,N/L,N/A
HIRE.VN,Hire Technologies Inc,0.11,0.13,0.1,0.11,0.105,0.105,0.142,25265,N/L,Industrial Products
HIVE.VN,Hive Blockchain Technologies Inc,5.34,5.86,4.8,5.05,4.65,4.85,6.74,259928,N/L,Finance
HIVE-WT.VN,Hive Blockchain Technologies Ltd Wts,0.495,0.5,0.4,0.4,0.4,0.4,0.521,8500,N/L,N/A
HCG.TO,Home Capital Group Inc,30.12,30.45,29.63,29.92,29.16,29.54,28.69,36488,N/L,N/A
TUF.VN,Honey Badger Silver Inc,0.07,0.07,0.065,0.07,0.07,0.07,0.069,61100,N/L,N/A
COPP.TO,Horizons Copper Producers Idx ETF,26.88,27.07,26.55,26.61,26.28,26.36,0,14872,N/L,N/A
HCH.VN,Hot Chili Limited,1.15,1.13,1.15,1.15,1.15,1.15,1.243,59700,N/L,N/A
HPQ.VN,Hpq Silicon Resources Inc,0.47,0.46,0.485,0.465,0.415,0.46,0.426,132162,N/L,Basic Materials
HS.CN,Hs Govtech Solutions Inc,0.47,0.445,0.47,0.46,0.45,0.485,0.504,19280,N/L,N/A
HBM.TO,Hudbay Minerals Inc,7.5,7.48,7.48,7.41,7.25,7.38,7.36,214320,N/L,Basic Materials
HUT.TO,Hut 8 Mining Corp,3.3,3.55,2.97,3.2,2.75,2.96,3.62,952043,N/L,Finance
H.TO,Hydro One Ltd,35.37,35.195,35.52,35.32,35.93,35.47,35.2,119120,N/L,Utilities
HG.CN,Hydrograph Clean Power Inc,0.185,0.185,0.18,0.18,0.2,0.2,0.182,20000,N/L,N/A
IAU.TO,I-80 Gold Corp,3.36,3.39,3.38,3.33,3.45,3.36,3.3,94095,N/L,Basic Materials
ITE.TO,I3 Energy Plc,0.44,0.47,0.445,0.44,0.445,0.43,0.45,387406,N/L,N/A
IAG.TO,IA Financial Corp Inc,65.1,65.82,64.98,64.79,65.1,64.73,65.34,64418,N/L,Finance
IMG.TO,Iamgold Corp,2.9,2.9,2.96,2.87,2.93,2.93,2.87,94668,N/L,Basic Materials
IAN.CN,Ianthus Capital Holdings Inc,0.09,0.095,0.11,0.1,0.09,0.11,0.117,34694,N/L,N/A
IB.VN,Ibc Advanced Alloys Corp,0.29,0.29,0.27,0.28,0.25,0.27,0.26,159859,N/L,Industrial Products
IBT.VN,Ibex Technologies Inc,0.48,0.455,0.49,0.49,0.52,0.5,0.533,47600,N/L,Medical
ICAN.CN,Icania Brands Company Inc,0.11,0.125,0.1,0.105,0.11,0.105,0.117,54159,N/L,N/A
ICM.VN,Iconic Minerals Ltd,0.105,0.1,0.1,0.105,0.105,0.1,0.112,20618,N/L,Basic Materials
ITKO.CN,Idaho Champion Gold Mines Canada Inc,0.06,0.053,0.06,0.06,0.06,0.06,0.058,72000,N/L,N/A
IGM.TO,Igm Financial Inc,38.51,39.29,37.8,38.28,37.34,37.66,37.8,121549,N/L,Finance
IFX.VN,Imaflex Inc,1.15,1.16,1.15,1.18,1.19,1.19,1.201,20800,N/L,Basic Materials
IMR.VN,Imetal Resources Inc,0.265,0.285,0.28,0.28,0.28,0.28,0.281,67000,N/L,Basic Materials
HOLD.NE,Immutable Holdings Inc,0.5,0.5,0.55,0.5,0.57,0.51,0.692,7523,N/L,N/A
IPT.VN,Impact Silver Corp,0.35,0.34,0.35,0.345,0.345,0.345,0.348,158650,N/L,Basic Materials
IEI.VN,Imperial Equities Inc,4.65,4.65,4.93,4.61,4.73,4.74,4.661,65000,N/L,Consumer Discretionary
IHC.VN,Imperial Helium Corp,0.18,0.18,0.17,0.175,0.16,0.165,0.179,27080,N/L,Basic Materials
IPG.VN,Imperial Mining Group Ltd,0.08,0.085,0.08,0.08,0.085,0.08,0.098,315000,N/L,Basic Materials
IMO.TO,Imperial Oil,71.5,72.06,68.81,71.05,69.2,69,66.3,149203,N/L,Oils-Energy
IMV.TO,Imv Inc,1.15,1.21,1.19,1.16,1.24,1.17,1.3,21250,N/L,Medical
